t.f,x.px,y.px,comp,coul.renforcee,cote.renforce,id.bourdon,essai
0,779,304,capture,blue,left,18,6
1,779,304,capture,blue,left,18,6
2,803,338,capture,blue,left,18,6
3,826,366,capture,blue,left,18,6
4,832,362,capture,blue,left,18,6
5,833,361,capture,blue,left,18,6
6,832,359,capture,blue,left,18,6
7,833,358,capture,blue,left,18,6
8,822,357,capture,blue,left,18,6
9,831,359,capture,blue,left,18,6
10,835,362,capture,blue,left,18,6
11,839,364,capture,blue,left,18,6
12,842,373,capture,blue,left,18,6
13,839,372,capture,blue,left,18,6
14,854,349,capture,blue,left,18,6
15,855,386,gate_test,blue,left,18,6
16,859,396,gate_test,blue,left,18,6
17,874,403,gate_test,blue,left,18,6
18,873,411,gate_test,blue,left,18,6
19,892,415,gate_test,blue,left,18,6
20,903,414,gate_test,blue,left,18,6
21,899,408,gate_test,blue,left,18,6
22,924,405,gate_test,blue,left,18,6
23,942,407,gate_test,blue,left,18,6
24,941,403,gate_test,blue,left,18,6
25,960,400,gate_test,blue,left,18,6
26,970,404,gate_test,blue,left,18,6
27,973,402,test,blue,left,18,6
28,953,414,gate_test,blue,left,18,6
29,945,417,gate_test,blue,left,18,6
30,942,418,gate_test,blue,left,18,6
31,939,416,gate_test,blue,left,18,6
32,937,413,gate_test,blue,left,18,6
33,927,405,gate_test,blue,left,18,6
34,927,405,gate_test,blue,left,18,6
35,902,401,gate_test,blue,left,18,6
36,894,401,gate_test,blue,left,18,6
37,881,397,gate_test,blue,left,18,6
38,869,396,gate_test,blue,left,18,6
39,860,392,gate_test,blue,left,18,6
40,860,384,gate_test,blue,left,18,6
41,854,383,gate_test,blue,left,18,6
42,848,383,gate,blue,left,18,6
43,855,386,gate_test,blue,left,18,6
44,842,373,capture,blue,left,18,6
45,842,373,capture,blue,left,18,6
46,840,373,capture,blue,left,18,6
47,823,363,capture,blue,left,18,6
48,819,377,capture,blue,left,18,6
49,818,358,capture,blue,left,18,6
50,824,375,capture,blue,left,18,6
51,824,368,capture,blue,left,18,6
52,814,357,capture,blue,left,18,6
53,811,359,capture,blue,left,18,6
54,810,356,capture,blue,left,18,6
55,810,356,capture,blue,left,18,6
56,807,339,capture,blue,left,18,6
57,803,339,capture,blue,left,18,6
58,794,340,capture,blue,left,18,6
59,783,332,capture,blue,left,18,6
60,781,325,capture,blue,left,18,6
61,776,323,capture,blue,left,18,6
62,770,325,capture,blue,left,18,6
63,764,320,capture,blue,left,18,6
64,763,316,capture,blue,left,18,6
65,757,317,capture,blue,left,18,6
66,757,320,capture,blue,left,18,6
67,741,318,capture,blue,left,18,6
68,745,325,capture,blue,left,18,6
69,736,326,capture,blue,left,18,6
70,725,324,capture,blue,left,18,6
71,726,319,capture,blue,left,18,6
72,728,319,capture,blue,left,18,6
73,725,315,capture,blue,left,18,6
74,724,315,capture,blue,left,18,6
75,725,312,capture,blue,left,18,6
76,721,308,capture,blue,left,18,6
77,719,308,capture,blue,left,18,6
78,719,309,capture,blue,left,18,6
79,719,308,capture,blue,left,18,6
80,718,307,capture,blue,left,18,6
81,717,307,capture,blue,left,18,6
82,718,308,capture,blue,left,18,6
83,717,304,capture,blue,left,18,6
84,717,299,capture,blue,left,18,6
85,717,298,capture,blue,left,18,6
86,717,298,capture,blue,left,18,6
87,714,293,capture,blue,left,18,6
88,713,288,capture,blue,left,18,6
89,711,292,capture,blue,left,18,6
90,710,291,capture,blue,left,18,6
91,702,287,capture,blue,left,18,6
92,688,282,capture,blue,left,18,6
93,686,282,capture,blue,left,18,6
94,681,275,capture,blue,left,18,6
95,678,272,capture,blue,left,18,6
96,674,272,capture,blue,left,18,6
97,669,271,capture,blue,left,18,6
98,672,267,capture,blue,left,18,6
99,673,268,capture,blue,left,18,6
100,674,266,capture,blue,left,18,6
101,673,267,capture,blue,left,18,6
102,674,269,capture,blue,left,18,6
103,673,269,capture,blue,left,18,6
104,670,268,capture,blue,left,18,6
105,670,268,capture,blue,left,18,6
106,670,270,capture,blue,left,18,6
107,670,270,capture,blue,left,18,6
108,669,270,capture,blue,left,18,6
109,669,267,capture,blue,left,18,6
110,669,267,capture,blue,left,18,6
111,671,269,capture,blue,left,18,6
112,670,270,capture,blue,left,18,6
113,671,269,capture,blue,left,18,6
114,671,269,capture,blue,left,18,6
115,670,270,capture,blue,left,18,6
116,670,270,capture,blue,left,18,6
117,670,271,capture,blue,left,18,6
118,670,270,capture,blue,left,18,6
119,670,270,capture,blue,left,18,6
120,670,271,capture,blue,left,18,6
121,670,271,capture,blue,left,18,6
122,670,271,capture,blue,left,18,6
123,670,272,capture,blue,left,18,6
124,671,271,capture,blue,left,18,6
125,671,271,capture,blue,left,18,6
126,647,217,capture,blue,left,18,6
127,644,217,capture,blue,left,18,6
128,671,271,capture,blue,left,18,6
129,670,272,capture,blue,left,18,6
130,670,272,capture,blue,left,18,6
131,670,271,capture,blue,left,18,6
132,669,271,capture,blue,left,18,6
133,671,272,capture,blue,left,18,6
134,671,272,capture,blue,left,18,6
135,670,272,capture,blue,left,18,6
136,669,272,capture,blue,left,18,6
137,669,272,capture,blue,left,18,6
138,670,272,capture,blue,left,18,6
139,670,272,capture,blue,left,18,6
